Energy (eV),,Wavelength (nm),Emission ,,Refractive index,,abs,,,,,
2.65947043332535,"*ev,",466.183035714286,0.000138612725604,",","1.9,",,18,",",,,,
2.60032958801498,"*ev,",476.785714285714,0.103013153869685,",","1.9,",,8,",",,,,
2.55252941176471,"*ev,",485.714285714286,0.259406546344448,",","1.9,",,4,",",,,,
2.52640618603593,"*ev,",490.736607142857,0.475723654022637,",","1.9,",,1,",",,,,
2.50363038088799,"*ev,",495.200892857143,0.640644118996635,",","1.9,",,1,",",,,,
2.48126155907974,"*ev,",499.665178571429,0.803423256347507,",","1.9,",,1,",",,,,
2.44844787304386,"*ev,",506.361607142857,0.938384253594371,",","1.9,",,1,",",,,,
2.42440157136622,"*ev,",511.383928571429,0.987677806668706,",","1.9,",,1,",",,,,
2.3827987987988,"*ev,",520.3125,1.00488490364026,",","1.9,",,1,",",,,,
2.33521294933782,"*ev,",530.915178571429,0.985703770266136,",","1.9,",,1,",",,,,
2.29185227976068,"*ev,",540.959821428571,0.917267321810951,",","1.9,",,1,",",,,,
2.23423330651649,"*ev,",554.910714285714,0.786765830529214,",","1.9,",,1,",",,,,
2.17944045516971,"*ev,",568.861607142857,0.63056840776996,",","1.9,",,1,",",,,,4
2.1252358905682,"*ev,",583.370535714286,0.482941075252371,",","1.9,",,1,",",,,,
2.06211397809541,"*ev,",601.227678571429,0.335342421229734,",","1.9,",,1,",",,,,
1.99902969228001,"*ev,",620.200892857143,0.243427844906699,",","1.9,",,1,",",,,,
1.9295827688032,"*ev,",642.522321428571,0.183661861425512,",","1.9,",,1,",",,,,
1.85390654205607,"*ev,",668.75,0.128211991434689,",","1.9,",,1,",",,,,
1.80129852440409,"*ev,",688.28125,0.100542023554604,",","1.9,",,1,",",,,,
1.7613140954495,"*ev,",703.90625,0.079262580299786,",","1.9,",,1,",",,,,
