nm,abs,,,,
396.168582375479,2.71233161699693,,,,
401.532567049808,5.20405332778558,,,,
406.130268199234,10.2971515750421,,,,
411.494252873563,15.6169275844732,,,,
415.325670498084,22.4064249926319,,,,
419.157088122605,27.8384563374421,,,,
422.988505747126,33.2704876822524,,,,
426.053639846743,37.3446195454309,,,,
434.48275862069,38.7068532098958,,,,
443.67816091954,38.4858098854042,,,,
450.574712643678,37.9240997902256,,,,
454.406130268199,35.324456926891,,,,
458.23754789272,32.3854475477194,,,,
459.003831417625,28.4266049479031,,,,
462.068965517241,23.9034517432083,,,,
462.835249042146,19.9446091433921,,,,
469.731800766284,15.3105008581682,,,,
472.030651340996,10.6737920632444,,,,
478.16091954023,7.05734990724849,,,,
485.057471264368,4.0069520292644,,,,
498.08429118774,1.63875452922106,,,,
522.605363984674,1.0870130545587,,,,
544.061302681992,1.09914876649157,,,,3011700
571.647509578544,1.00162965274528,,,,
590.804597701149,1.2387094537196,,,,
